# Time [yrs]	Index
-125000.0	0.0
-124900.0	0.0
-124700.0	0.0
-124500.0	0.0
-124400.0	0.0
-124200.0	0.0
-124000.0	0.0
-123900.0	0.0
-123700.0	0.0
-123500.0	0.0
-123400.0	0.0
-123200.0	0.0
-123000.0	0.0
-122900.0	0.0
-122700.0	0.0
-122500.0	0.0
-122400.0	0.0
-122200.0	0.0
-122000.0	0.0
-121900.0	0.0
-121700.0	0.0
-121500.0	0.0
-121400.0	0.0
-121200.0	0.0
-121000.0	0.0
-120900.0	0.0
-120700.0	0.0
-120500.0	0.0
-120400.0	0.0
-120200.0	0.0
-120000.0	0.0
-119900.0	0.0
-119700.0	0.0
-119500.0	0.0
-119400.0	0.0
-119200.0	0.0
-119000.0	0.0
-118900.0	0.0
-118700.0	0.0
-118500.0	0.06603656356712867
-118400.0	0.09459812684239186
-118200.0	0.20995855056161197
-118000.0	0.3421923463264551
-117900.0	0.3870014311604496
-117700.0	0.4098677402364157
-117500.0	0.3761209472947882
-117400.0	0.3613912422130342
-117200.0	0.3679030959292963
-117000.0	0.41006151041997346
-116900.0	0.42704176293673984
-116700.0	0.42183304873841543
-116500.0	0.3647984125577452
-116400.0	0.32952740073129955
-116200.0	0.2766239653979413
-116000.0	0.2673575154326847
-115900.0	0.27874791113167685
-115700.0	0.3260460413445489
-115500.0	0.39685484495447587
-115400.0	0.4361579323413604
-115200.0	0.5021896705245086
-115000.0	0.5204641798180689
-114900.0	0.5072747627286837
-114700.0	0.4596598825520862
-114500.0	0.4411119772021768
-114400.0	0.4576775154614835
-114200.0	0.5246726979369223
-114000.0	0.555619080362755
-113900.0	0.5271569333106959
-113700.0	0.3736857239484313
-113500.0	0.17152369362974546
-113400.0	0.09565390682123157
-113200.0	0.04831174190091647
-113000.0	0.11127336445288129
-112900.0	0.14799857862900523
-112700.0	0.1600026188025073
-112500.0	0.07100458387816226
-112400.0	0.00886979052267867
-112200.0	-0.08705921687682217
-112000.0	-0.10041526348084638
-111900.0	-0.07995557754756462
-111700.0	-0.01890671170614258
-111500.0	0.03613488460499313
-111400.0	0.05902059559994351
-111200.0	0.09939418352812829
-111000.0	0.12139727245957044
-110900.0	0.11595202964261354
-110700.0	0.06287981384922077
-110500.0	-0.018330378452752333
-110400.0	-0.049209941104681854
-110200.0	-0.06271874315802514
-110000.0	-0.03260167732010274
-109900.0	-0.02640392473412458
-109700.0	-0.08300504968654225
-109500.0	-0.23937794391150988
-109400.0	-0.33462132761411045
-109200.0	-0.49873504237205113
-109000.0	-0.5886965198135431
-108900.0	-0.612769365603049
-108700.0	-0.6570169694943593
-108500.0	-0.7133432951903371
-108400.0	-0.7320556933599585
-108200.0	-0.697949217400696
-108000.0	-0.5355547730652926
-107900.0	-0.4192818543331441
-107700.0	-0.1853522530044984
-107500.0	-0.02355360756914479
-107400.0	0.027342781518569923
